"","cid","Drug_Name","Response","MoA","Dose.nM.","Toxicity"
"1",387447,"bortezomib","High","NFkB_pathway_inhibitor_proteasome_inhibitor",369.2306,"Potentially toxic (low confidence)"
"2",148124,"docetaxel","High","tubulin_polymerization_inhibitor",418.75,""
"3",135564985,"ganetespib","High-to-moderate","-",622.4787,"Potentially toxic (low confidence)"
"4",6505803,"tanespimycin","High-to-moderate","HSP_inhibitor",311.1108,""
"5",11364421,"BI-2536","High-to-moderate","PLK_inhibitor",730,""
"6",15983966,"GSK461364","High-to-moderate","PLK_inhibitor",309.9115,""
"7",49792852,"NMS-1286937","High-to-moderate","PLK_inhibitor",203.9884,""
"8",300471,"elesclomol","High-to-moderate","oxidative_stress_inducer",334.6625,""
"9",24800541,"delanzomib","High-to-moderate","proteasome_inhibitor",185.206,"Potentially toxic (low confidence)"
"10",25183872,"ixazomib","High-to-moderate","proteasome_inhibitor",1000,""
"11",4122,"nocodazole","High-to-moderate","tubulin_polymerization_inhibitor",1000,""
"12",26596,"parbendazole","High-to-moderate","tubulin_polymerization_inhibitor",811.111,""
"13",46885626,"GSK1070916","Moderate","Aurora_kinase_inhibitor",321.6585,""
"14",16007391,"barasertib-HQPA","Moderate","Aurora_kinase_inhibitor",216.2291,""
"15",11442891,"danusertib","Moderate","Aurora_kinase_inhibitor_growth_factor_receptor_inhibitor",176.1827,""
"16",11152667,"AZD7762","Moderate","CHK_inhibitor",118.5187,""
"17",71496458,"osimertinib","Moderate","EGFR_inhibitor",799.7998,""
"18",25257557,"CX-5461","Moderate","RNA_polymerase_inhibitor",410.1895,""
"19",49836020,"birinapant","Moderate","XIAP_inhibitor",388.148,""
"20",9936746,"OTX015","Moderate","bromodomain_inhibitor",370,""
"21",446541,"mycophenolic-acid","Moderate","dehydrogenase_inhibitor_inositol_monophosphatase_inhibitor",275.0369,""
"22",25262792,"AZD2014","Moderate","mTOR_inhibitor",321.5573,""
"23",9884685,"PI-103","Moderate","mTOR_inhibitor_PI3K_inhibitor",404.5182,""
"24",108143,"tamibarotene","Moderate","retinoid_receptor_agonist",604,""
"25",5351344,"combretastatin-A-4","Moderate","tubulin_polymerization_inhibitor",222.222,""
"26",4030,"mebendazole","Moderate","tubulin_polymerization_inhibitor",728.2052,""
